30774 12821 3147;30774 3147
8981 356;356
151 781 649 1385 5006 122 16853 414;122
9994 6774 1588;1588 9994
4371 7753;4371
40679 36765 45242 45263 11577 10768 27097 23754 31521;36765 40679 45263 11577 27097 31521
45221 44629 26267 46920 44161 42848 42850 39255 42843 44582 30971 42440 45769 42846 46297 30791 7 22883;45221 44629 44582 30791 7 22883 42850
6398 10955 15829 7005;15829 7005
7653 88;88
33043 30791 32210 33059;33043 30791 33059
1951 325 2998 4727;325
9930 3728 12810 3505 2871 7486 8833 6775 8689 36718 24705 23748 24959 2850 792 7323 45794 4933 36944 4056 2666 42471 48192 33916 11259 27353 25542 16769 37875 4232 39269 42846 37876 2224 34855 1709 45254 31933 45222 43175 36417;12810 6775 4933 2850 43175 11259 27353 4232 45222
2073 2072 2074 255 10409 3979 6467 6636 2807 5240 3524 15409 893;2073 893
3721 23118 28352 13635;23118 3721 28352
781 493 46329 49083;781 493 46329
40670 44582 2330 1229;40670 2330
32210 33034 3286 18;18 32210
7313 578;578
33048 6354 7633;33048
869 4592 37;37 869
48266 48282 48280 48256;48266 48256
47061 47058;47061
44085 23362 533 532 212 30750 40668 40677 2939 2164 4366 2365 20666 46355 2024 1583 7668 41448 39379 5467 272;44085 212 2939 40668 2164
41476 41469 41489 41442 41457 40655;41469 40655 41489
7502 15902;7502
10179 298 2925 2096 702 6297 28346 2926 5710 25590 12205;298 2096
5692 3374;5692
48266 48255 48256 48280 48274;48266 48280
46894 26327 5082 46916 46895 46896 46918 46917 46911;26327 46916 5082 46896
39265 39246 9593 14515 1467 8437 8210 24140 2495 23377 2152 40678 40679 40657 4034 7413 33390 34820 28426 41444 14023;40678 40679 40657 34820
23265 23148 23093 10199 249 7306 1945;23265 23148
49182 49260 45768 41571 48287 45081 46333 49114 5118 48266 48280 48257 3286 48274 43168 37875 46952 28468;49182 48287 41571 49114 5118 48266 48257 43168
1005 33048;33048
709 2990;2990
23109 1661 30757;30757
44589 44593 44582 44581 40655 44611 44628 44614 37876;44589 44593 44581 44628
3813 3814;3814
3414 5042;3414
37882 37881 2755 37877 37873 1637 2880 9496 6015 30195 24823 5345 34820 1107 921 1748;37882
45214 43277;45214
33149 2756 3163 750 388 3060 1957 3754 5285 3636 10386 6017 30750;33149 6017
604 6468 380 6394;604
48266 48280 48263 48262;48266 48280 48262
47061 47060 40934 14025 47474 48271 48284 3230;14025
44592 44141 44624 44106;44592 44141 44624
41442 40657;41442
953 48291;48291
15752 30742 6292;15752
12071 51118;51118
42448 41491;42448
1782 41454 48283;48283 1782
473 91;473
47060 46332 46297 18315;46297 47060
45241 49088 50442;45241
45994 46300 46335 46326;46300 45994 46335
28382 4676 1671 34821 34819 3417 36424 36426 789 36439 36423;28382 4676 1671 3417 34821 36426
428 2321 11540 9838 7336 2277 5893 3849 5300 10436 427 4747 655;428 4747 655
51071 50334;51071
323 204 1289;1289
2736 9124 1326 1163 4637 4107 5081 3868 10362 5665 5687 2741 7352 5653 3208;2736
2593 45326 42474 45375;45326
16 39277 17221 39314 2689 91 5561 23070 40672 6600 2207 26266;39277 6600
42558 42661 2386;2386 42558
47061 47060 47059;47059
45258 45241;45258
39273 39240 39256 39279;39273 39240 39279
50440 51105 48263 973 51085;50440 51085
46914 23602 28324 783 4325 2330 34153 3968 28545 26982 15137 3871 21540 3175 15730 8892 11402;46914 23602 4325
19898 50305 49128 20537 4408 22203 50293;4408 22203
13067 2404 2406 2403 2405;2406
31230 36931;36931
49130 25355 18153 50295 50302 50294 50341 50336 50296 50319;50302 50336
688 689;689
45256 45238 45215;45256
47518 46950 5616;47518
26490 1567;1567
12897 47490 47474 47476 7759 46300 1815 46908 707 41442 42845 681 28325 45221 958 3224 46902 46898 46909 46913;47490 47476 42845 46300
13047 44601;44601
1225 3797 17595 11858 834 5487;1225
22743 204 116;22743
45214 28328;28328
15776 3491;3491
4602 2643;2643
33068 1642 2233;33068 1642
1309 249;1309
32344 46894 26327 3229 3120 46916 46917 46918 45774 42473 28858 33029 45760 17 46909 681 6405 46903 2383 46925 45794 23418 3068 5464 4064 43128 17253 7052 46668 46461 5082 46919 46911 41535;46894 5082 46917 26327 3229 46919 42473 46916
42444 42456 42449 42439 40671;42444 42439 42456 42449
42616 3344 44172 43343 42514 42555 1455 26983;42616
992 991;992
3744 28431 49129 33705 47629;33705
209 34817 28468;28468
45768 45761 45784 45765 45224;45768 45761 45765
991 992 994 993;994
11836 45235 389 11312 8177 48645 45318 44830 2139 8534;11836
34830 16448;34830
48310 48297 28321 2123 1032;48297
49128 50305 20537 19898 18153;50305 19898 20537
48266 48280 48274;48266 48274
47530 47060 47505;47530 47505
744 36445 40656 40664 40667 26267 40655 5379 23102 40680;26267 36445
45300 143 205 204 5353 23109 23276 1661 9578;45300 205
50321 50325 46904 46337 19722 2487 49982 51010 51210 50413;50325 49982 51210
41875 3555 6545 31985;41875 3555 31985
5242 9534 37891 2755 34817 2217 281 34863 4828 13764;5242 37891 2755 34863 4828
7865 1584 4415 5101 23772;23772
546 1918;1918
217 87 88;88 217
23265 23104;23104
44616 44600 43169;44616 44600
5584 5583 2235;2235 5584
23078 249;23078
307 27 43155 40655 43148 42440 37876;43155 40655 43148
50303 50297 50323 50318 47061 2630;50303 50297 50323 47061
42449 42450 42456 42439 42451 300 2371 28413 1530 1492 1491 10503 178 41771 13688 11996 6589 12917;42456 2371 1530 10503 13688
684 3270 683 23261 6446 1632 916;23261
45326 45280 2593 42474 45781;45781 45326
42448 42850 15007 747 7159 43162 43154 43153 43151 43175 43147;42850 43162 43153 43175 43147
1148 15045 7775 5345 9555 3117 192;1148
49083 49097 49117 49099 49104 49106 49096;49083 49099 49096
94 561 39252 3642;3642
204 205 548 1644 1755 1839 634 1156 549 113 297 1641 722 203 421 721 2455 1871;1871
5386 3544;3544
41456 41484 41477 42566 1554;1554 42566
32210 31043 33034 33030 33043;33030 32210 33043
501 64 165 130 2252 133 1176 751 148 221 78 2525 503;501 165 130 2252 221 2525
1470 42442 28742 25740 2128 807 23121 6439 43192 43219 42460 2103 942 38059 13505 38156 37881 43184 44626;42442 28742 807 43219 44626 23121 38156 42460 43184
41455 6993 41444 41445 41479 41456 41459 41458;41445 41479 41456 41459 41444
51071 49128 19898 45228 10660 49094;51071 49094
34814 34818 34819;34814
7270 46957 2509 39272 21928;46957 2509 39272
134 2226 6684 745 253 213 381 1291 2337 12106 14341 9944 12952;745
42707 46939;42707
49083 49096 50330 46939 750 1814 37889 3465 28333 7189 46908 131 986 45875 42444 42450 51109 50291 44663 1956 36445 3700 5735 6095 30755 2711 45787 14212 48274 39276 45776 33043 51123 45811 33030 45778 48256 51100 48282 48259 51113 51080 48266;50330 131 45776 45811 48259 51080 51100 51113
905 39249 14025;905
31043 32210 39251;32210
2927 4430 752 44 457 775 2023 327 4592 4593 5379 4836 29 5263 5551 1614 3893 5995 1309 249 601 23068 1485 725;775 3893 327 249 23068 4592 5379 29 725 5263 457
12071 43156;12071
377 365 695 421 116 549 4810 1137 8632 5408 1265 1435 724 4615;1265 377 365 695 724
1393 4588 1766;1393
33149 6375 7707 12911;12911 7707 6375
29312 335 9305 9223;29312
46919 46918 46916 46911 9564;46919 46918 46916
6878 39379;39379
42336 42440 33705;33705
8842 8843 8841 3545 932 2695 3569 6616;932
26266 30970 30971 33038 1671 611 181 29 705;30970 30971 1671 33038 611
46912 46909 3120 46925 3121 46916 46918 46917 46911 42443 20582 46920 46899 3313 37878 42441 46943 8240 10913;46911 46912 3120 3121 46917 46916 3313 20582 37878 42441 46943
5167 2016 3496;5167
47518 28321 47472 49105 7729 7195 1279;47518
43479 43372 10025 6405 6794 6672 6403 2630 36912 39247 21922 42845 1135 41535 36441;36441 6405 36912
41459 41456 41455 41472 34784 41476 5074;41459 41472 41476 34784
42449 42455 42450 42452 1811 42440 30752 42476 578 42462 7696 10261 32210 2511 43162 40657 39240 33029 1076 33030 31043 41445 39288 30931;42449 42455 42476 42450 10261
23087 23088;23087
31972 32209 123;32209
1461 1192 1191;1191
48266 48255 48280 46315;48280 48266 48255
49100 47505 47059 47472 49163 49403 49191;47059
47060 47473 47471 47497 47058 47505 47530 47061;47471 47530 47505 47060 47061
43192 2394 43172 43184 43203 43219;43192 43184
1426 12948 17741 463 26267;26267
39269 3082 39372;39372 39269
3315 3292 1276 8476;3292 8476 3315
36424 36422 30747 36423 944 30737 30738 1827 4592 11525 23072 30761 2224 5962 30751 28378 4594 487 249 1672;36424 36422 36423 5962 249
36500 16774 174 2748 611 601 249 28858 1642;36500 16774 249 174
4595 28333 40667 325 40686;40686 4595
40661 40665;40661
45236 116 46893 3341;46893
47043 47060 47507 47473 47514 47476 47478 47497 47489 3224 45771 2747 45597;47060 45771
10 91;91
4927 2710 2709 2712 4787;4927 2710 2712
45770 50302 50295 50301 50328 50327 51102 51097;50295 45770 51102
49096 41451 49123 49111 49093 49113 49105;49105 49113 49111
41571 47521;41571
23104 16543 3078 905;23104 3078
37878 36719 37883;37878 36719
50297 50307 50292 19898 49128 4408 20537 50305 22203 18153;50292 50307 50297 49128 4408 20537 22203
40655 36415 39263;40655
680 7454 3037 10318 11208 12691 10543 15467 3038 9023;12691 680 10318 9023
9564 379 39253;9564
49083 49105 49118 39241 487 50328 49178 22203 50305 20537 18153 25355 49130 50304 46297 5403 47486 46307 50300 46341 47477;20537 50328 46297
10948 16347 8364;10948 8364
26265 172 26264 36427 36428 28348 4494 33053 23068;26265 36427
33029 31043 33034 30931 32210;30931 31043 32210 33034
13871 42507;13871
50305 49128 50293;49128
41455 41456 41459 41458 41472 41451 41476 2425 246 41469 13922 17761 34784 3735 494 3417 3585 869 111 15662 6775 9602 19752 41519 41486 41495 41518 41473 41448 1734 1260 2029 1787 4029 6773 4639 39379 25155 7655 17873 41484 32210 33029 31043 33030 30931 33034 33043 41477 10543 3033 32209 41489 34830 28426 34814 34819 34812 24695 8564;41455 41459 41458 41472 41456 41451 41486 32210 30931 3033 32209 41489 34830 28426 24695 8564
41583 44964;44964
360 1147 1148;360
36748 1537;36748
1111 4492;4492
17875 13844 9191 1861 1862 10219 39321;17875 39321
47471 47060 47473 47059 3961 4149 2756;47471 47473 47059
301 378;301
23066 5091;23066
7750 321 421 117 1839 548;7750
1982 64 8493;64 1982
374 29883;374
10864 36615 2029 4223 7744 2947 996 2888 6483 23602 41447 41454 11919 38038;23602 36615 38038
49096 49083 49103 49086 33223;49096 49083 49086 49103
49083 49096 49097 49095 49098 49105 47059 46897 183 45762 45797;49083 49096 49097 49098 49095 45762 47059 46897
34817 20913 1192 1461 15480 563;1192 34817 15480
47530 47506 47060 47473 47058 47505 47471 47061 47059;47530 47506 47505 47060 47473
5344 3373;3373
1962 2852 3417 879 639 561 30756;879
51071 45228 5184 18493 50364 51103 5766 11062 21756 51700 11069 44315;51071
37919 37949 37900 503 750 388 182 181 29 705 26267 23644 166 307 3446 3448 20076 694 36719 28 184 601 28858 16 32210 220 148 5617 419 418 12748;37919 5617 12748
307 23078 23068 13635 6710 23431 344 1452 10096 10230;6710 23431 1452 10096
15837 37933;15837
3531 42545 43183 43187 43172 2394;3531 43183 42545 43187
37883 37879 23068;37879
507 32667 3078;3078
33059 1828 33048;33048
39241 23078 181 33031 37875 39271 37871 16 36417 37900 36416 39255;39241 39255
32210 33030;32210
50303 50297 50323 2786 383 1827 49083 973 50364 2928 51069 50301;50297 50323 50303
34814 42843 40665 28858 30971 44097 44095 29017 42849 39255 707;29017 42843
50306 2022 51080 973 49092 45081;51080
3055 3899 26266 3467 1490 1815 3022 2425 1491 5189 1492 751;3055 5189
37871 37878 37883 36719 37873 1877 37988;36719 37878 37871 37883
422 486;486
41476 45217 44734 45253;44734 45253
45786 23068 42850 40660 50341 44696 28333 37889 44643 3466 51700 44646 34815 49098 1135 49095 45758 46958;45786
192 46296 9379 12994 37971 4979 9658 42060 45298 8629 46940;192 12994 45298
27255 49105 49083 49099 19444;19444 49083 49105 49099
8764 7758 52289 50307 47490 47477 47497 50328 487 49118 50327 249 49083 746 7159 11586 4821;52289 11586 50327 50328 4821
7753 461 11569 4046 3135 3448;11569
44734 45257 45214 45088;44734 45257 45214
45761 45787 45795 45237 34817 45224 7189 611 4542 1818 1814 3705 3892 961 42454 963 2489 3700 46299 45828;7189 34817 45761 45787 45237 45828 3700 3892 46299
44125 44580 37881 44619 5345 44606 4853 19304;44125 37881 4853
905 906;906
3766 15015 41535 1614 42444 5778 3054 5551 972 9673 5774;3766 42444
207 1185 3270;207
30 18329;18329
7752 12296 5417;5417 7752
41469 41455 41451 6775 41495 41448 42450 42452 36719 2567 4530 1039 6967 41467;41448 41469 42450 41495 42452
13266 2500 5786 49126 3935 37939 1039 39379 3003 16837 12607;3003
47514 2180 47056 47532 1405 47504 20194 3961 47583 3229 46918;47514 47532 47504 1405 47583 3229
3675 12685;3675
4163 2406;2406
2490 325 811;325
4850 1000 5098 49215;4850
2711 9387 961 4853 4854 2504 5815 8629 6503 28468 9162 4313 2481 4510 5439;9387 961 2711 2504
7609 54 37895;37895
12497 14934 12121 1588 7006 12896 1293;1588 7006 1293 12896
28345 28328 45214 4149 6323;28328
37871 37878 37872 1636;37871
37882 44607 4615 36719 966 42441 1940 16200 5263 37904 13147 3704 36445 12406;44607 4615 13147
1077 975 1076 32210 39256 39240 17 39244 39297 39288 31972 23500 1317 30931 3726 524 3728 9930 9493;39244 39288 30931
45215 487 50328 49118 249 44095 50327;50327 45215 249
34833 4796 34816 36424 36423 489 3417;4796 36423 34816 36424 34833 3417
3466 49117 133 49083 249 44095 45215 45769 51089 49119 49095 10447 46899 46920 49118 50328 487 46902;49117 49083 49119 49095 45215 10447 46902
3230 46895;3230
48266 48280 48274 48256 48282 48259 639 48306 48296 48273 48261;48274 48256 48282 48266 48259
2707 3609 115;115
44140 44115 44133 2510 11043 4494 44121;44133 44140 44115 2510
3399 34818 34814 34815 28325 26267 26266 3616 34816 34833 34830 34824;34818 34814 34815 34824 34816 34830
36455 20666 36484;36484 36455
37945 2794 28657 35429 28398 5294;2794 28398 37945
49104 493 781 46297 306;781 493
49095 49098 49083 49117 49096 49097;49095 49117 49083
49091 50342 49215 3302 49090;49091 50342
33048 32210;33048
2403 47574 2404 2406;2406
37890 37897 37888 37877 37904 37903;37890 37897 37877
1467 27635;27635
91 46332 39242 44642;91
2606 854 1765 2268 2631 1279 960 959 6545 376 5161 3429 1956 12290 3268 12408 12291 1991 6438 2512 6937 2887 10244;376 1765
46902 46928 46910 45306 44095 117 10 473 47058;46902 45306
44153 31559 47548 27255 47438 33214 47491 47585 47493 47547 47496 3410 43203 11508 47495 44584;47585 47493 31559 47491 44153 33214 47547 3410 47496 44584 11508 27255
46952 46929 46928 42846;46952
8932 37898 2665;37898
41446 43154 30931 41480 41445;41446 41480 41445
51070 51131 51079 51120 51080 3887 13266;51070 51080 51131 51079
4595 638 1815 133;4595 638 133
48303 42651;42651
30931 32210 4737 5118;30931 32210 5118
51080 51070 51132;51080 51132
732 23082 26036;732 26036
44074 44106 44076 44124 44073 44117;44106 44076 44117 44074
23644 1718;1718
33369 4595 40663 40672;33369 40663
46332 47487 49109 49123 50297 49093 49101 49130 25355 18153 50304 50294 50301 47485 46316 49094 49111 752 49113 44079 47486 4509 974;47487 49109 49111 49113
23093 1046;1046
29883 4407;4407
48266 36848 32210 975 43162;48266
15498 3208 5932;3208
46309 46243;46309
30640 23118 46324 45815 3722 44117 42477;23118 45815
13332 31933 45255 45222 39272;13332 31933 39272
7306 4919 47489 47476 47475 47490 47043 47474 47485 47478 47477 47497;47476 47475 47043 47490 47474 47478 47497
47058 47530 47506 47472 47060 47473 47061 2887 2489;47506 47058 47473 47061
49092 49114 49094 5510 49089;49094 49089 49092
3049 5346;5346
48287 561 41454 30756;30756
3049 4286 34897 36433 1679 36421;4286 34897 1679 36421
680 2286 1781;680
12859 15995;15995
37871 813 21780 23976 28525 11759 4777 8249 37878;813
44088 2394 44133 44140 1176 44081 44116 11043 44077 44086 44070 4581 44134 44096;44088 44133 44134 44070 44081 44096
30762 30766 10161 2071 6430 922;30766
45800 45791;45800
4772 12658 6327 5364 6329 3178 7072 1970 5413 15863 5414;5413 5414 7072 4772 3178 15863
23118 3723 5020 2771 2770 2597 8344 1774 425 8928 27483 10525 23110 5203 1150 2651 253 2116;23118 8344 2770 8928 10525
3640 17917;17917
45770 661 275 5672 9792 7731 9098 6392;45770 5672 6392
205 421;205
17822 493 43207 3227 43148 11400 11265 9882 6935 3910 9478;493 11400 9882 11265 6935 9478 3910
47060 47505 47471 45770;47060 47471
639 561;639
23228 445 4325 3947 44111;23228
2205 51085 6214;2205
5113 5112 5093 4849 23194 11625;4849 5113 5112 23194
2221 5491 18544 39423 15152 32210;2221
9536 9954 10355 11128;11128
13263 6269;6269
46341 45081 46309 457 18753 46320 1078 46342 46909 46952 45260 45815;45081 46309 1078 46909 45260 46341
37989 25892 27752 5789 4417 5386;5386
42474 1767 7880 1765 960 11694 8107;8107 42474
122 493 4400 2458 306;493 4400
28345 45214 28328;28345
32210 33030 30931 24333 22062 22061 22776;32210 30931 33030
46310 275 46317 46356;46356
41478 41450 3186;41478
252 2279 3271 3069 10249 4088 12184 7612 2118 430;2279 252 2118 3271 4088 12184 10249 3069
50330 1768 15026;50330
4615 45994 4083 5405;4615
36249 41460 30761 181 137;36249
46310 5092;46310
39372 3082;3082
37871 37883;37871
37901 37871;37901
937 117 2455 8977;117
223 44085 1851;44085
48266 48256 48274;48266 48256
917 31106;917
6323 45781 44283;45781
43043 23164 42843 37900 45787 1640 44582 39273 44611 45761 490 28826 7960;43043 28826 44582
44106 44073;44106
48252 39287 45767;48252 39287
905 906 226 12530;12530 906
47 28487 30791 3436 29038;29038 30791 28487 47
44606 44580 44586 36719 44607 44619;44606 44580 44586 44619 44607
44271 46314;46314
36719 43186 43162 307 42849 40655 43188 43175 43204;42849 43204 43175 43162 40655 36719 43188 43186
49102 46904 50325 44132;49102 46904
23086 39241 1671 39256;39256 23086
50313 50296 249;50296 50313
147 674 1689 4920 11306 5507 651 151;147 674
44097 44094 42845;44097 44094
4366 1939 36442 15500 5874;4366 36442
2243 16316 3752 2242 39299 11907 8586 15794 25830 7559 13705 14508 1219 7950 44098 296 9541 2644 42492 7948 10427;2242 13705 14508
42449 42447 42444 42448 42456 41491 41535 42441 6952;42449 42447 42444 42456 42448 42441 41491 41535
44117 10570 44076;10570 44117
549 1182;1182
13462 23362 36437 212 46306 45815;13462 45815 212 23362 46306
44948 45267 45254;44948 45267
48266 48280 48255;48280 48266
19224 15799 3489 1396 1397 12062 11081;19224
4011 484 5611 3879 6425 1854 35653 320 35966 2898 3434 4227 3512;5611
366 7759 753 868 170 1689;868 753 366 1689
45780 45791 3028 45770 42449 45858 45778 45794 45769 45761 44581 4595;45780 44581 45769 4595
48267 44085 48274 46315 8339 14053 11551 10063 13960;46315 48274 44085
32210 31043 30931;32210 30931
39766 5615;39766
8947 24327 24878 23090 13293;8947 24878 13293
634 205 204 1096 1292 3679 2366 143 111 2737 11537 26574;634
7316 4106 17645 25834;4106 25834
41456 41455 41458 1811;41456 41458
28368 1036;28368
44090 28346 1265 44071 39241 37876;44090 44071
16036 10385 39277 2871;39277
6421 4635 6461 4634 25686 8142 12118 3587 3134;6421
43175 43162 39240 4597 3621 23177 262 272 38041 41625 44143 3922 2151 3619 3620 7069 5184 44581 1417 2213 612 40669 307 40655 32456 23644 26266 2543 244 5774 3320 3427 45616 45617 22659 34519 31826 43325 34516 35834 45618;43162 40669 40655 32456
26267 26266 28325 28389 26265 4279 4060;26267 28389 26265 26266
742 6188;6188
33029 30931 43154 43148;33029 43154
45213 3174;45213
5445 1313 662 901;5445
26264 28325 307 28340 28389;26264 28325 307
3773 8093 7655 16324 4611 24798 3814 9798;3773 8093 16324 3814 7655 4611
51095 51100;51095
51 9727 2430 9379 984 2401 1915 8998 6635 23142;8998
46297 45864 46295 45994 2530 46328;45864 46328
5342 5098;5342
1026 5267 36549 7645 33026;1026
9417 3944 9727 2430 11824 5009 8996 4979 2647 10206;11824 10206
47473 47506 47059 47058;47506 47473 47059
16109 23202 5667 10113 28341 30744 23135 1308 6683 2226 287 6684 3615 1312 134 745 505 23120 23142;16109 23202 28341
47052 49087 9754;9754
45215 44645 44705 44663 45259 45238 44808 44646 45218 45220 45223 13332;44663 45215 45223 13332 45220
44734 17272 19272 17698;17698
237 204 203 205;204
46895 46896 46931;46895
51095 51080 51074 51099 51131 51100 51101;51080 51074 51099 51131 51101 51100
439 162 36428;439 162
48259 31043 45759 48282;48259 45759
3834 34;3834
40660 40658 29017;40660 40658
5221 3082 3027 3028 15434;3028 15434
204 590 116 588;590 204 116
49100 1649 47521;47521
42439 42449 42464 42456 4592;42439 42449 42464
7312 12725 13043 16228 45088 17339 39393 15481 9679 27700 341 11874 10730 5065 7661 41550 4653 16386 41686 42850;10730
730 5066 2220 18 16828 13123 13708 1249;5066 18 13123 730
1071 32210 51080 30931 33043 39276 45776 51070;51070 51080
48255 48260 781 23081 42443 28325 45221 306 2543 304 46300 5399 28355 47693 11244 4950 9141 16129 11907 19170 8325 38431 23780;45221 781 5399 47693 9141
6936 1030 2813 1616;1616
51080 51074 51099 51132 51088;51080 51132 51088 51074
3503 3504 4071 32 351;3503
5445 662;662
47058 47471 3813 1851;47471
40681 40698 40682 729 7759;40681 40698 729 40682
43239 3839;43239
15006 696 49100 1068 49106 46908 3466 49095 45784 973 45875 45779 42450 32188 50291 7818 44637 17618 6094 51111 51109 51093 2886 653 47477 49155 49089 4724 49097 39241 45786 133 49083;32188 50291 51111
6681 10832 14220 14651;6681
44 725 1015 43 4430;725 1015 43
46903 46893 804;46903
44074 40671 43156 32210 975 33029 43151 3286 41447 3725 39288 18;44074 40671 33029
43204 37905 37876 42846 489 43155;42846 43155 43204
44598 271 17781 495 160 36693;44598 17781 495
44074 44076 44127 39255 44135 41442 42843 487 42844 44095 45215 42846 44620 44598 44580;44074 44076 44127 39255 44135 41442 42844 44095 45215 44620 44598 44580
129 44591;129
730 94 7237;94
31198 33068 30958 31972 33049;33068
44579 43247 344 2329;2329
507 32667 23262;32667
347 4971 39249 1047;1047
1225 359 1675 421;1225 359
44106 43718;44106
204 143 116 117 721 937 14020;116
147 146;147
10951 9429;9429
33029 32210 33034 33033 31043 146 147 1689 28470 731 4613 28325 4446 7137 158 157 743 244 306 1486 2543 5975 5974 5976;32210 33034 33033 31043 146 731 244
1145 213 2143 13606 537;13606 1145 537
10179 36552 12551 10763 28623 45215 28345 45219 12994 4653;12551 10763 28623 45219
30791 181 1725;30791
47060 47472 47505 47473;47060 47473 47472
51070 3448 50334 3446 51119 51071 51101;51070 50334
90 363 5481 4659;363
592 369;369
44582 44135 42449 44580 44606 44125 37878 44631 44586 36719 37882 44619 44607 26266 45255 26267 31933 45222 42447 36036 1250 26265 37883 694 42478 244 45220 13332 44598 3399 34818 1671 34819 42448 17046 17323 181;44580 44606 44125 44586 44631 45255 42447 36036 42478 36719 26266 13332 34818 31933 45222 34819
23602 29450 2660 4939 41458;4939 23602
5780 51235 51700 51729 51728 5995 12262 51101 51100 973 5779 9163;51235 51729 5780 5995 51700
388 750 133 601 132 5552 23068 28 170 183 28333 1309;601 132
1457 3437 2291;1457
30764 30752;30764
422 782 8947 541 3602 2686;422 541
2303 1121 1120 4035;4035
46 47 28324 23164;23164
223 6689;6689
29312 23644;29312
33026 17873 19960 29721;33026
583 605 788 678 787;605
33030 31043 32210 30931 1818;31043 32210 30931
37881 36470 36465 36140;37881
44600 44632 44607 44619 1954;44600 44632 44619 44607
42466 4862 42455 41491;42466 41491
30742 1510 30741 23675;30742
421 45317 1183 590;1183 421
11577 4229 2444 2475 3464;4229 2444 11577
4568 31043 23509 30971 16321 16320;4568 31043
2429 7753;7753
5446 26267 26264 28332 28352 13852;5446
255 593 20775 88 829 36437 34897 1137 37901;34897 88 1137 36437
1824 40656 44078 44081 4836 28348 36428 326 4509 36429 958 5959 5537;44081 5537 1824 44078
48291 953;953
39320 3313;39320
870 34829;34829
50293 49089 47490 47497 44594 49092;50293 49089 47490
3336 3466 612;3466
1128 46916 22679 46943 3803 23164;1128 22679
3269 352 4460;352
17477 7270 3766;3766
3120 3121 46917 5082 3229 46916 46925 1288 46918;3120 46917 5082 3121 3229 46916 46918
1027 40669 1028;1027
33032 33038 30970;33032 33038
17 1077;17
638 2213 136 43 44 725 1176 752 28 137 170 505 745;638 2213 43 1176
34812 11523 495 34816 6159;34812 34816
49180 2704 1783 1782 1273 46314 46367 41571 48283;2704 48283
7916 11826;11826
46908 50292 46309 51709;46908 50292 46309
45255 26267 26266 31933 26265 45264 45222;45255 45222
204 45317;45317
46243 45081 46309 2022 30744 46928 46902;46243 45081 46928
1076 32210 39240 39256;39256 39240
44697 46315 36417 2614 16;46315 44697
44808 45234 45239 44663 45256 45218 45255;45234 45239 44663 45256
4653 41550 39242;4653
1982 158 27 23083 2746 23072 23068 1365;1982 158 23083 23068 1365
23164 28324 28413 47 3295;28324 28413 3295
781 46328;781
49097 49105 49098 49117;49105 49117 49098
48274 48266 46315 1653 48280 48256 45224;48266 48274 48256
43718 44126 1137 42574 2755 30195 37881 2421 5263 7212 510 42455;2421 2755 37881
16308 1030;1030
36063 2346 33026 3351;33026 3351
7851 5125;5125
6936 1030 28331;1030 28331
22203 49308 2744 51750 457 50307 1516 50306 2746 11586 4822 5376 3098 45081 50292 4724 2747 10829 25355 4821 45597 51093 45771 7758 5272 3994 13105 46333 3144;49308 5376 50306 51750
98 43162 32210;98
720 5161 1991;5161 720
226 7492 1834 9250;226
46314 45236 2020 48283 767 9709 30977 769 33074;46314
23091 1321;1321
26727 28355 27265 1157 5345;27265 26727
46937 46913 1530 30751 18753 47490 47475 46323 4060 46347 47478 47497 47438 1486;46937 1530 47475 47490 47478 47438 47497
48266 48276 43221 48278 47518;48276 43221
45236 92 44271 639 2292 46927 2924;44271
6082 655 9895 4043 8388 5071 43346 20418 28725 44664;6082 5071 43346 28725 44664
3927 5477 6647;3927 6647
46958 46920 46899 2022 46300;2022 46899
2024 86;86
13 21379 31 2955 5154;31
23091 822;23091
50292 50307 50314 50315 50306 46341 2022 50301;50292 50307 50306 50315
90 1640 37900 37878;90 37878
2871 7486 4610 2747;2871
6633 10382;10382
7645 7047 7644 45723 24431 9394 42461 2121;24431 7645
41448 262 44102;41448
20180 1198 43167 43162 43175 43204 12077 43181 42450 42439 42455 42456 42336 42449;42439 42450 42449 43175 43204 42455
675 674;674
6224 6225;6225
30 1292 2366 116 117 205 1156 634 473 111 1398 721;117 634
40668 23066 782 2200 4224 11863;40668
43171 1759;1759
720 5161 3429 1991 376 4810;5161 720
260 41454 37910 8695 772 639;37910 772
868 1689;868
41484 41456 41455 41458 41472 41459 494;41472 41484 494 41459 41456 41458
51214 9784 48291 47471 51712 41577 2710 51109 44663 44071 42454 5434;48291 41577
7848 23228;23228
1348 2140;1348
5534 4808 37989 32210 7459;37989
49196 510 46295 1771;49196
32210 39240 39297 33030 39288 40657 1567;32210 33030 39288 40657
998 3140;998
32667 23262 23208 23305;32667
151 122 303;303 122
379 30753;30753
45215 45218 45220 26265 16 778 4854 2504;45215 45220 2504 16
26266 26264 7136 26267 23644;23644 26266 26267
41477 16991 41446 1824 10310 8771 2328;41477 1824
494 44948 1145;494 1145
30764 2818;30764
45 50 28334 47 549 111 421 8379 11082 30 18329 7550 237 205 2287 3669 5049;47 8379 549 45 30
50307 50306 50315 50335;50307 50306 50335
42438 42452 42441 42447 42478 42444 42449;42441 42438 42478 42447 42444 42449
3935 804;3935
7596 10201;10201
2407 2406;2406
1182 634 111;634
4063 44616 44084 44119;4063
45786 45758 47530 47507 46999 47505;47507 45786 47505 47530 45758
37913 11 37933;37933 37913
